id,version,block,emotionapi,imgfilename,participant,imgfps,imgtimestamp,anger,joy,sorrow,surprise,unknown,detection
59626adcfbc5be35a4a08cb0,1,1,google-vision,./screenshots/3fps/cee80501-e64a-4b8b-bf84-c472ae4e0522-1495.jpg,1,3fps,imgtimestamp,0,0,0,0,99.94854927062988,true
59626b06fbc5be35a4a08def,1,1,google-vision,./screenshots/3fps/cee80501-e64a-4b8b-bf84-c472ae4e0522-2463.jpg,1,3fps,imgtimestamp,0,0,0,0,0,false
59626b93fbc5be35a4a09216,1,1,google-vision,./screenshots/3fps/cee80501-e64a-4b8b-bf84-c472ae4e0522-2500.jpg,1,3fps,imgtimestamp,0,0,0,0,0,false
59626bb3fbc5be35a4a09306,1,1,google-vision,./screenshots/3fps/cee80501-e64a-4b8b-bf84-c472ae4e0522-2244.jpg,1,3fps,imgtimestamp,0,0,0,0,0,false
59626bbcfbc5be35a4a0934d,1,1,google-vision,./screenshots/3fps/cee80501-e64a-4b8b-bf84-c472ae4e0522-2465.jpg,1,3fps,imgtimestamp,0,0,0,0,0,false
59624f0267fe933053c031ae,1,1,google-vision,./screenshots/2fps/cee80501-e64a-4b8b-bf84-c472ae4e0522-1639.jpg,1,2fps,imgtimestamp,0,0,0,0,0,false
59624f0367fe933053c031b0,1,1,google-vision,./screenshots/2fps/cee80501-e64a-4b8b-bf84-c472ae4e0522-1640.jpg,1,2fps,imgtimestamp,0,0,0,0,0,false
59624f0667fe933053c031cb,1,1,google-vision,./screenshots/2fps/cee80501-e64a-4b8b-bf84-c472ae4e0522-452.jpg,1,2fps,imgtimestamp,0,0,0,0,0,false
59624f3167fe933053c0330e,1,1,google-vision,./screenshots/2fps/cee80501-e64a-4b8b-bf84-c472ae4e0522-1665.jpg,1,2fps,imgtimestamp,0,0,0,0,0,false
59624f5467fe933053c03414,1,1,google-vision,./screenshots/2fps/cee80501-e64a-4b8b-bf84-c472ae4e0522-1644.jpg,1,2fps,imgtimestamp,0,0,0,0,0,false
59624f7f67fe933053c03561,1,1,google-vision,./screenshots/2fps/cee80501-e64a-4b8b-bf84-c472ae4e0522-1670.jpg,1,2fps,imgtimestamp,0,0,0,0,0,false
59624fa267fe933053c03665,1,1,google-vision,./screenshots/2fps/cee80501-e64a-4b8b-bf84-c472ae4e0522-1642.jpg,1,2fps,imgtimestamp,0,0,0,0,0,false
59626abbfbc5be35a4a08bb8,1,1,google-vision,./screenshots/3fps/cee80501-e64a-4b8b-bf84-c472ae4e0522-2373.jpg,1,3fps,imgtimestamp,0,0,0,0,99.90121722221375,true
59626abbfbc5be35a4a08bb9,1,1,google-vision,./screenshots/3fps/cee80501-e64a-4b8b-bf84-c472ae4e0522-2230.jpg,1,3fps,imgtimestamp,0,0,0,0,98.13916683197021,true
59626abcfbc5be35a4a08bba,1,1,google-vision,./screenshots/3fps/cee80501-e64a-4b8b-bf84-c472ae4e0522-2308.jpg,1,3fps,imgtimestamp,0,0,0,0,95.58600783348083,true
59626abcfbc5be35a4a08bbb,1,1,google-vision,./screenshots/3fps/cee80501-e64a-4b8b-bf84-c472ae4e0522-2147.jpg,1,3fps,imgtimestamp,0,0,0,0,99.99786615371704,true
59626abcfbc5be35a4a08bbc,1,1,google-vision,./screenshots/3fps/cee80501-e64a-4b8b-bf84-c472ae4e0522-1604.jpg,1,3fps,imgtimestamp,0,0,0,0,99.91660714149475,true
59626abcfbc5be35a4a08bbd,1,1,google-vision,./screenshots/3fps/cee80501-e64a-4b8b-bf84-c472ae4e0522-912.jpg,1,3fps,imgtimestamp,0,0,0,0,99.99985694885254,true
59626abcfbc5be35a4a08bbe,1,1,google-vision,./screenshots/3fps/cee80501-e64a-4b8b-bf84-c472ae4e0522-1984.jpg,1,3fps,imgtimestamp,0,0,0,0,99.76471662521362,true
59626abcfbc5be35a4a08bbf,1,1,google-vision,./screenshots/3fps/cee80501-e64a-4b8b-bf84-c472ae4e0522-608.jpg,1,3fps,imgtimestamp,0,0,0,0,99.81769323348999,true
59626abcfbc5be35a4a08bc0,1,1,google-vision,./screenshots/3fps/cee80501-e64a-4b8b-bf84-c472ae4e0522-1499.jpg,1,3fps,imgtimestamp,0,0,0,0,99.99755620956421,true
59626abdfbc5be35a4a08bc1,1,1,google-vision,./screenshots/3fps/cee80501-e64a-4b8b-bf84-c472ae4e0522-1237.jpg,1,3fps,imgtimestamp,0,0,0,0,99.98446702957153,true
